I'd gone there with you.;Eu tinha ido lá com você.
I'd studied Spanish.;Eu tinha estudado espanhol.
I'd bought a new car.;Eu tinha comprado um carro novo.
I'd talk to her.;Eu falaria com ela.;= I would talk to her.
I'd talked to her.;Eu tinha falado com ela.= I had talked to her.
I'd write a book.;Eu escreveria um livro.= I would write a book.
I'd written a book.;Eu tinha escrito um livro. = I had written a book.
One of the most powerfull effects of marketing is to gain influence in the minds of potential customers.;Um dos mais poderosos efeitos do marketing é conquistar influência na mente de potenciais clientes.
The human being is productive by nature.;O ser humano é produitvo por natureza.
Work to learn: Money is consequence.;Trabalhe para aprender: dinheiro é consequência.
Incomplete tasks are broken deals with yourselfs.;Tarefas incompletas são acordos quebrados consigo mesmo.
Success depends on a conscious effort to change your own destiny.;O sucesso depende de um esforço consciente para mudar o próprio destino.
When investing, do not try to go against nature.;Ao investir, não tente ir contra a natureza.
The real change happens when you pay yourself every month.;A verdadeira mudança acontece quando você se paga todo mês.
The two most important days in your life are the day you are born an the day you find out why.;Os dias mais importantes na sua vida são o dia em que você nasce, e o dia em que você descobre o porquê.
Twenty years from now, you will be more disappointed by the things that you didn't do than by the ones you did do, so throw off the bowlines, sail away from safe harbos, catch the trade winds in your sails;Daqui a 20 anos, você se arrependerá mais pelo que não fez do que pelo que fez, por isso, tire as amarras, se afaste do seu porto seguro, pegue o rumo certo.
Explore, dream, discover.;Explore, sonhe, descubra.
I'm convinced that about half of what separates the successful entrepreneurs from the non-successful one is pure perseverance.;Estou convencido de que cerca da metade do que separa os empreendedores de sucesso dos não bem-sucedidos é pura perseverança.
Do not be embarrassed by your failures, learn from them and start again.;Não se sinta envergonhado por seus fracassos, aprenda com eles e comece de novo.
It does not matter who slowly you as long as you do not stop.;Não importa o quão devagar você vá, desde que você não pare.
It's hard to beat a person who never gives up.;É difícil bater uma pessoa que nunca desiste.
Fail often so you can succeed sooner.;Falhe logo para que você possa ter sucesso mais cedo.
Timing, perseverance, and ten years of trying will eventually make you look like an overnight success.;Tempo, perseverança e 10 anos de trabalho talvez te façam parecer um sucesso da noite para o dia.
You may be disappointed if you fail, but you are doomed if you don't try.;Você pode ficar desapontado se falhar, mas estará condenado se não tentar.
When you cease to dream you cease to live.;Quando você não deixa de sonhar, você deixa de viver.
Your most unhappy customers are you greates source of learning.;Seus clientes mais insatisfeitos são sua maior fonte de aprendizado.
Do not let college interfere with your studies.;Não deixe a faculdade atrapalhar seus estudos.
I do not have a problem if you aim loud and err, i have a problem if you aim low and hit.;Eu não tenho um problema se você mirar alto e errar, eu tenho um problema se você mirar baixo e acertar.
If you think that you can or you think that you can't, you're right.;Se você achar que consegue ou você achar que não consegue, você está certo.
The more you work, more luck will you have.;Quanto mais você trabalhar, mais sorte terá.
Hiring is the most important thing you do.;Contratar é a coisa mais importante que você faz.
Our greatest asset it the ability of enthusiasm who is around us.;O nosso maior ativo é a capaciddade de entusiasmar quem está à nossa volta.
I'd rather be paid for my results.;Eu prefiro ser remnureado pelos meus resultados.
Is not what happened, it's what happens next.;Não se trata do que aconteceu. Trata-se do que acontece em seguida.
It's not about ideas, it's about making ideas happen.;Não se trata de ideias, trata-se de fazer ideias acontecerem.
If you want to do it, do it now. If you don't, you're going to regret it.;Se você quer fazer algo, faça agora. Se não fizer, você se arrependerá.
I've missed more than 9.000 shots in my career. ;Eu perdi mais de 9000 arremessos na minha carreira.
I've lost almost 300 games, 26 times i've been trusted to take the game's winning shot and missed. ;Perdi aproximadamente 300 jogos, 26 vezes eu acreditei ter dado o arremesso vencedor do jogo e o perdi. 
I've failed over and over again in my live and that's why I succeed.;Eu falhei repetidamente na minha vida, e é por isso que eu obtive sucesso.
There's nothing wrong with staying small. ;Não há nada errado em manter-se pequeno. 
You can do big things with a small team.;Você pode fazer grandes coisas com um time pequeno.
Implementation is hard. ;Fazer acontecer é difícil.
Ideas are easy.;Ideias são fáceis. 
If you just work on stutff that you like and you're passionate about, you don't have to have a master plan with how thing will play out.;Se você trabalha com o que gosta e é apaixonado por isso, você não precisa se preocupar como as coisas vão acontecer.
The best time to plant a tree was 20 years ago. ;O melhor momento para plantar uma árvore era 20 anos atrás. 
The second best time is now.;O segundo melhor é agora.
The secret of successful hiring is this: look for the people who want change the world.;O segredo para uma contratação de sucesso é esse: procure por pessoas que queiram mudar o mundo.
You're not a risk taker, you should get the hell out of business.;Se você não corre riscos, você deve dar o fora dos negócios.
Watch, listen and learn. You can't know it all yourself. ;Observe, escute e aprenda. Você não consegue saber tudo sozinho. 
Anyone who thinks they do is destined for mediocrity.;Qualquer um que pense que consegue está destinado a mediocridade.
All progress takes place outside the comfort zone.;Todo progresso acontece fora da zona de conforto.
The only place where sucess comes before work is in the dictionary.;O único lugar em que o sucesso vem antes do trabalho é no dicionário.
Whenever you find yourself on the side of the majority, it is time to pause and reflect.;Sempre que você se encontrar do lado da maioria, é hora de parar e refletir.
You may have to fight a battle more than once to win it.;Você deve lutar mais de uma batalha para se tornar um vencedor.
Logic will get you from A to B. Imagination will take you everywhere.;A lógica pode levar de um ponto A a um ponto B. A imaginação pode te levar a qualquer lugar.
Dream as if you will live forever. Live as if you will die today.;Sonhe como se você fosse viver para sempre. Viva como se você fosse morrer hoje.
